,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,loan_default,house_onwer,emp_year_greater_5,loan_grade0,loan_grade1,loan_grade2,loan_grade3,loan_grade4,loan_grade5,loam_purpose0,loam_purpose1,loam_purpose2,loam_purpose3,loam_purpose4,loam_purpose5,loam_purpose6,loam_purpose7,loam_purpose8,loam_purpose9,loam_purpose10,loan_term0
47,30000,14.47,705.38,78000,18.83,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,25000,11.55,550.45,26376,11.97,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,6000,6.67,184.36,65000,3.18,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
50,12000,7.84,375.16,79000,15.33,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,6400,14.47,220.21,37000,30.68,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,34500,15.02,1196.3,105600,9.25,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
53,3000,11.55,99,22000,20.24,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
54,20000,6.11,609.44,200000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,15000,6.67,460.9,700000,4.54,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
56,6000,11.55,198,50000,2.66,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
57,17000,16.91,421.68,60000,26.88,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,25000,10.47,536.98,290000,18.49,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,3500,17.97,126.49,25000,36.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
60,30000,16.91,744.13,71815,11.54,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,14575,18.94,377.61,30000,63.56,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,15000,10.08,484.58,40000,8.7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
63,40000,6.11,1218.88,300000,1.83,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
